estacion,zona,timestamp,NO2,O3,PM10,PM2.5
Arturo Soria,3,2017-09-30 23:00:00,41,42,NA,NA
Arturo Soria,3,2017-10-01 00:00:00,13,59,NA,NA
Arturo Soria,3,2017-10-01 01:00:00,7,65,NA,NA
Arturo Soria,3,2017-10-01 02:00:00,11,59,NA,NA
Arturo Soria,3,2017-10-01 03:00:00,7,60,NA,NA
Arturo Soria,3,2017-10-01 04:00:00,11,55,NA,NA
Arturo Soria,3,2017-10-01 05:00:00,11,54,NA,NA
Arturo Soria,3,2017-10-01 06:00:00,18,46,NA,NA
Arturo Soria,3,2017-10-01 07:00:00,21,41,NA,NA
Arturo Soria,3,2017-10-01 08:00:00,17,45,NA,NA
Arturo Soria,3,2017-10-01 09:00:00,18,47,NA,NA
Arturo Soria,3,2017-10-01 10:00:00,20,51,NA,NA
Arturo Soria,3,2017-10-01 11:00:00,14,60,NA,NA
Arturo Soria,3,2017-10-01 12:00:00,17,66,NA,NA
Arturo Soria,3,2017-10-01 13:00:00,9,76,NA,NA
Arturo Soria,3,2017-10-01 14:00:00,7,75,NA,NA
Arturo Soria,3,2017-10-01 15:00:00,8,75,NA,NA
Arturo Soria,3,2017-10-01 16:00:00,6,69,NA,NA
Arturo Soria,3,2017-10-01 17:00:00,10,58,NA,NA
Arturo Soria,3,2017-10-01 18:00:00,18,43,NA,NA
Arturo Soria,3,2017-10-01 19:00:00,33,35,NA,NA
Arturo Soria,3,2017-10-01 20:00:00,50,22,NA,NA
Arturo Soria,3,2017-10-01 21:00:00,54,16,NA,NA
Arturo Soria,3,2017-10-01 22:00:00,47,19,NA,NA
Arturo Soria,3,2017-10-01 23:00:00,41,18,NA,NA
Arturo Soria,3,2017-10-02 00:00:00,31,20,NA,NA
Arturo Soria,3,2017-10-02 01:00:00,19,26,NA,NA
Arturo Soria,3,2017-10-02 02:00:00,26,18,NA,NA
Arturo Soria,3,2017-10-02 03:00:00,33,12,NA,NA
Arturo Soria,3,2017-10-02 04:00:00,37,7,NA,NA
Arturo Soria,3,2017-10-02 05:00:00,33,10,NA,NA
Arturo Soria,3,2017-10-02 06:00:00,59,5,NA,NA
Arturo Soria,3,2017-10-02 07:00:00,73,5,NA,NA
Arturo Soria,3,2017-10-02 08:00:00,62,8,NA,NA
Arturo Soria,3,2017-10-02 09:00:00,48,13,NA,NA
Arturo Soria,3,2017-10-02 10:00:00,63,18,NA,NA
Arturo Soria,3,2017-10-02 11:00:00,42,33,NA,NA
Arturo Soria,3,2017-10-02 12:00:00,27,44,NA,NA
Arturo Soria,3,2017-10-02 13:00:00,11,54,NA,NA
Arturo Soria,3,2017-10-02 14:00:00,10,54,NA,NA
Arturo Soria,3,2017-10-02 15:00:00,14,48,NA,NA
Arturo Soria,3,2017-10-02 16:00:00,11,47,NA,NA
Arturo Soria,3,2017-10-02 17:00:00,14,44,NA,NA
Arturo Soria,3,2017-10-02 18:00:00,26,32,NA,NA
Arturo Soria,3,2017-10-02 19:00:00,55,11,NA,NA
Arturo Soria,3,2017-10-02 20:00:00,63,5,NA,NA
Arturo Soria,3,2017-10-02 21:00:00,59,5,NA,NA
Arturo Soria,3,2017-10-02 22:00:00,59,5,NA,NA
Arturo Soria,3,2017-10-02 23:00:00,40,7,NA,NA
Arturo Soria,3,2017-10-03 00:00:00,25,14,NA,NA
Arturo Soria,3,2017-10-03 01:00:00,13,23,NA,NA
Arturo Soria,3,2017-10-03 02:00:00,9,25,NA,NA
Arturo Soria,3,2017-10-03 03:00:00,8,25,NA,NA
Arturo Soria,3,2017-10-03 04:00:00,12,20,NA,NA
Arturo Soria,3,2017-10-03 05:00:00,32,5,NA,NA
Arturo Soria,3,2017-10-03 06:00:00,44,5,NA,NA
Arturo Soria,3,2017-10-03 07:00:00,52,5,NA,NA
Arturo Soria,3,2017-10-03 08:00:00,57,6,NA,NA
Arturo Soria,3,2017-10-03 09:00:00,50,10,NA,NA
Arturo Soria,3,2017-10-03 10:00:00,60,21,NA,NA
Arturo Soria,3,2017-10-03 11:00:00,54,32,NA,NA
Arturo Soria,3,2017-10-03 12:00:00,44,40,NA,NA
Arturo Soria,3,2017-10-03 13:00:00,34,48,NA,NA
Arturo Soria,3,2017-10-03 14:00:00,28,59,NA,NA
Arturo Soria,3,2017-10-03 15:00:00,34,58,NA,NA
Arturo Soria,3,2017-10-03 16:00:00,43,63,NA,NA
